iteration,sample,batch_size,learning_rate,metric,result,walltime
001,0000,1028,0.0006321769476074806,val_loss,0.040834504738619215,42
001,0001,32,0.0007464105916227577,val_loss,0.0047277881878454095,231
001,0002,32,0.00044116909746320135,val_loss,0.005052441743726849,262
001,0003,1028,0.000180430695561639,val_loss,0.047946556202336114,37
001,0004,256,0.0006085587319230636,val_loss,0.015869735955673137,40
001,0005,16,0.0008609012139333991,val_loss,0.005171410569585239,385
001,0006,32,0.00010800063797050463,val_loss,0.005456171076089756,270
001,0007,128,0.0009090383657150618,val_loss,0.005848793612525672,91
001,0008,128,0.0004357150001293653,val_loss,0.01357941030535694,74
001,0009,16,3.0121456787268914e-05,val_loss,0.014129089305780697,171
001,0010,1028,2.0336064717811385e-05,val_loss,0.02903379446310657,37
001,0011,128,0.00039411814107822,val_loss,0.006547198749654946,133
001,0012,256,0.00011196741645137251,val_loss,0.0435949046005202,41
001,0013,1028,0.0007990512404125591,val_loss,0.032495290678560766,37
001,0014,1028,0.0007534090014977423,val_loss,0.045232911333828,37
001,0015,256,0.0008272888608542505,val_loss,0.005966144785265845,101
002,0000,256,0.0004357150001293653,val_loss,0.02006851366498225,41
002,0001,256,4.585390979521453e-05,val_loss,0.0408725127433913,41
002,0002,256,0.00011196741645137251,val_loss,0.06038390471406737,41
002,0003,128,0.00030205287872049847,val_loss,0.00810349495548255,132
002,0004,256,0.00011196741645137251,val_loss,0.015219999879562287,96
002,0005,32,0.00010800063797050463,val_loss,0.005279566415152231,325
002,0006,512,2.0336064717811385e-05,val_loss,0.007128979779391573,87
002,0007,64,0.00039411814107822,val_loss,0.005856741225183907,172
003,0000,16,0.00018119655740240408,val_loss,0.00531761337767507,433
003,0001,128,2.0336064717811385e-05,val_loss,0.007865215278598313,81
003,0002,8,0.00010800063797050463,val_loss,0.005996473573771898,506
003,0003,256,0.00030205287872049847,val_loss,0.007789867756814671,96
003,0004,256,1e-06,val_loss,0.009498017053670886,102
003,0005,128,0.00030205287872049847,val_loss,0.0069590034637467815,116
003,0006,32,0.0007464105916227577,val_loss,0.005040628985550294,239
003,0007,256,0.00010800063797050463,val_loss,0.01602058286071068,101
004,0000,32,0.0007351640847550115,val_loss,0.005006709525950171,200
004,0001,32,0.0007620793488916903,val_loss,0.005170640425033699,231
004,0002,32,0.00046141723382026387,val_loss,0.005051856141351907,169
004,0003,32,0.00010800063797050463,val_loss,0.007370677696066058,291
004,0004,16,0.0008609012139333991,val_loss,0.0048795724234766,405
004,0005,16,0.00044116909746320135,val_loss,0.0046310705350716104,289
004,0006,32,0.00010800063797050463,val_loss,0.005087595341033158,252
004,0007,64,0.00044116909746320135,val_loss,0.004999402369441832,157
