iteration,sample,batch_size,learning_rate,dropout,metric,result,walltime
001,0000,128,5.7228654445998324e-05,0.11013471559016114,val_loss,0.002135850298054847,0
001,0001,32,0.0006434496676444997,0.42655562261145896,val_loss,0.0025876473239828694,0
001,0002,32,0.0004923194829511657,0.12128040892926334,val_loss,0.0020266807910732333,0
001,0003,128,1.3359096781349962e-05,0.2562534704313447,val_loss,0.002619841343140216,0
001,0004,32,0.0003587369728820632,0.11464574599863875,val_loss,0.002009668564083468,0
001,0005,32,0.0001939351036798285,0.38587028179808835,val_loss,0.0020461663696538447,0
001,0006,16,0.0007456653231975033,0.2966550007695969,val_loss,0.0025729276373465957,0
001,0007,128,0.00013682756482452554,0.2851736440977401,val_loss,0.001973627948341099,0
001,0008,128,0.0008186484172351129,0.06144033646045677,val_loss,0.002051017788332454,0
001,0009,16,0.0006786173518148707,0.21015798715773004,val_loss,0.002230545924816269,0
001,0010,16,0.0009181722506578353,0.2253525083167155,val_loss,0.0026073338396558716,0
001,0011,16,0.000569262592846583,0.46366499221935964,val_loss,0.00306526701242233,0
001,0012,64,0.0003075503384048625,0.37888570106262937,val_loss,0.0019734115494649497,0
001,0013,128,0.0003098733996283784,0.36489446357782124,val_loss,0.0019913822465651328,0
001,0014,128,0.0006751223716531884,0.4963203856710975,val_loss,0.0021731444412608227,0
001,0015,64,9.043143432931976e-05,0.04322261640661024,val_loss,0.001848257816664119,0
002,0000,32,0.0003075503384048625,0.12128040892926334,val_loss,0.0019029856949435134,0
002,0001,32,0.0004259480614322767,0.46366499221935964,val_loss,0.0021324574753860824,0
002,0002,64,9.043143432931976e-05,0.04322261640661024,val_loss,0.001848257816664119,0
002,0003,128,0.0009353613844563528,0.06144033646045677,val_loss,0.0019200829038867875,0
002,0004,32,0.0003587369728820632,0.02355662880687663,val_loss,0.0019703812948770206,0
002,0005,16,0.0007456653231975033,0.2966550007695969,val_loss,0.0025729276373465957,0
002,0006,32,0.00022562931910065007,0.38587028179808835,val_loss,0.0019328190363546774,0
002,0007,32,0.0006434496676444997,0.42655562261145896,val_loss,0.0025876473239828694,0
003,0000,64,9.043143432931976e-05,0.0675868440512125,val_loss,0.0018858470691409917,0
003,0001,32,9.043143432931976e-05,0.04322261640661024,val_loss,0.0018100315220684418,0
003,0002,32,0.0002580253796613939,0.06392909738381368,val_loss,0.0019188928926667135,0
003,0003,32,0.0004099562801033204,0.027141620684816906,val_loss,0.001999758473001612,0
003,0004,128,0.0002852979521200292,0.36489446357782124,val_loss,0.0019094962969603275,0
003,0005,64,9.043143432931976e-05,0.06129690584349114,val_loss,0.00184183042653061,0
003,0006,32,0.0003075503384048625,0.17053240516885104,val_loss,0.002039124924921166,0
003,0007,64,9.043143432931976e-05,0.0,val_loss,0.001731260913079469,0
004,0000,64,9.043143432931976e-05,0.024808600429733922,val_loss,0.0017339637442508637,0
004,0001,64,9.043143432931976e-05,0.04322261640661024,val_loss,0.001848257816664119,0
004,0002,32,0.0003587369728820632,0.02355662880687663,val_loss,0.0019703812948770206,0
004,0003,64,9.043143432931976e-05,0.04322261640661024,val_loss,0.001848257816664119,0
004,0004,64,9.043143432931976e-05,0.09540080081394817,val_loss,0.0018312963658841193,0
004,0005,64,9.043143432931976e-05,0.0,val_loss,0.001731260913079469,0
004,0006,64,9.043143432931976e-05,0.04322261640661024,val_loss,0.001848257816664119,0
004,0007,32,9.822744326027852e-05,0.06129690584349114,val_loss,0.0018018653544616533,0
