iteration,sample,learning_rate,metric,result,walltime
001,0000,8.9335192534385e-06,0,val_loss,0.0774515762910041,498
001,0001,4.550350211608461e-06,0,val_loss,0.007560965911592108,1254
001,0002,5.679115609015267e-06,0,val_loss,0.08939857619052491,340
001,0003,2.4564517987855498e-06,0,val_loss,0.007537126255193048,1238
001,0004,4.124889140170961e-06,0,val_loss,0.06340753303793467,513
001,0005,7.835634701841859e-06,0,val_loss,0.00755267439771598,1169
001,0006,8.923438107431822e-06,0,val_loss,0.007761975118956292,750
001,0007,6.191213411917604e-06,0,val_loss,0.06777730260530668,430
001,0008,2.4839946340343634e-06,0,val_loss,0.00770297820736092,1750
001,0009,8.599785545415568e-06,0,val_loss,0.07766595299889721,378
001,0010,6.354149751682637e-06,0,val_loss,0.06847218019827271,408
001,0011,6.1499412901756414e-06,0,val_loss,0.007571058564763808,1479
001,0012,8.234974012673048e-06,0,val_loss,0.0580900936093411,401
001,0013,5.074622365152345e-06,0,val_loss,0.007545484514333766,1309
001,0014,3.5032482433290257e-06,0,val_loss,0.007691572029824799,972
001,0015,5.20970468610567e-06,0,val_loss,0.05290602274546453,356
002,0000,2.4839946340343634e-06,0,val_loss,0.0744184087982379,389
002,0001,5.074622365152345e-06,0,val_loss,0.007306449871716135,1883
002,0002,1e-05,0,val_loss,0.008151174964542348,1326
002,0003,2.4564517987855498e-06,0,val_loss,0.008052548048838903,1178
002,0004,8.599785545415568e-06,0,val_loss,0.0749676961873882,344
002,0005,5.679115609015267e-06,0,val_loss,0.007410436347743241,1226
002,0006,5.20970468610567e-06,0,val_loss,0.06784460410581052,272
002,0007,3.5032482433290257e-06,0,val_loss,0.007958401727760757,907
003,0000,1e-05,0,val_loss,0.007305550556428272,2506
003,0001,4.124889140170961e-06,0,val_loss,0.08144898610922893,397
003,0002,5.679115609015267e-06,0,val_loss,0.007816819878584761,909
003,0003,5.074622365152345e-06,0,val_loss,0.007848764896679725,1092
003,0004,2.4564517987855498e-06,0,val_loss,0.007627397571398174,1116
003,0005,5.074622365152345e-06,0,val_loss,0.007488449035488688,729
003,0006,5.679115609015267e-06,0,val_loss,0.007885603545727456,1547
003,0007,1e-05,0,val_loss,0.007514983413586018,1354
004,0000,2.4564517987855498e-06,0,val_loss,0.007156921193810041,1795
004,0001,5.679115609015267e-06,0,val_loss,0.006882779690102207,1111
004,0002,1e-08,0,val_loss,0.007360189072845563,1095
004,0003,5.074622365152345e-06,0,val_loss,0.008199326172685123,1327
004,0004,5.679115609015267e-06,0,val_loss,0.007956810337334917,1624
004,0005,1e-08,0,val_loss,0.008507127474089117,2282
004,0006,1e-08,0,val_loss,0.007614259313123725,1544
004,0007,1e-08,0,val_loss,0.0077989883998734666,1306
